Data Source in SDW: null
,FM.M.U2.EUR.RT.MM.EURIBOR3MD_.HSTA
,"Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Refinitiv"
Collection:,Average of observations through period (A)
Period\Unit:,[Percent per annum ]
,,obs. status,obs. comment
1997Aug,4.3600,Normal value (A),
1997Jul,4.3000,Normal value (A),
1997Jun,4.2900,Normal value (A),
1997May,4.3000,Normal value (A),
1997Apr,4.3900,Normal value (A),
1997Mar,4.5000,Normal value (A),
1997Feb,4.4300,Normal value (A),
1997Jan,4.3900,Normal value (A),
1996Dec,4.5000,Normal value (A),
1996Nov,4.5700,Normal value (A),
1996Oct,4.6900,Normal value (A),
1996Sep,4.8600,Normal value (A),
1996Aug,5.0800,Normal value (A),
1996Jul,5.0600,Normal value (A),
1996Jun,5.0800,Normal value (A),
1996May,5.0600,Normal value (A),
1996Apr,5.2700,Normal value (A),
1996Mar,5.5000,Normal value (A),
1996Feb,5.5800,Normal value (A),
1996Jan,5.8100,Normal value (A),
1995Dec,6.3200,Normal value (A),
1995Nov,6.4500,Normal value (A),
1995Oct,6.7500,Normal value (A),
1995Sep,6.5000,Normal value (A),
1995Aug,6.6600,Normal value (A),
1995Jul,6.9200,Normal value (A),
1995Jun,7.0800,Normal value (A),
1995May,7.0400,Normal value (A),
1995Apr,7.2900,Normal value (A),
1995Mar,7.5800,Normal value (A),
1995Feb,6.5900,Normal value (A),
1995Jan,6.6600,Normal value (A),
1994Dec,6.6900,Normal value (A),
1994Nov,6.4000,Normal value (A),
1994Oct,6.4300,Normal value (A),
1994Sep,6.3800,Normal value (A),
1994Aug,6.4300,Normal value (A),
1994Jul,6.3400,Normal value (A),
1994Jun,6.3000,Normal value (A),
1994May,6.2400,Normal value (A),
1994Apr,6.5700,Normal value (A),
1994Mar,6.7500,Normal value (A),
1994Feb,6.8600,Normal value (A),
1994Jan,6.9100,Normal value (A),
